num_epochs,learning_rate,final_train_loss,final_valid_loss,final_train_acc,final_valid_acc
1800,0.001,1.018657322973013,0.9893391132354736,0.4555,0.42
1800,0.005,0.7981259096413851,0.7884511202573776,0.817,0.855
1800,0.01,0.7579904682934284,0.723061591386795,0.8195,0.85
2400,0.001,1.0282423552125692,1.0510260164737701,0.4555,0.42
2400,0.005,0.7821206990629435,0.7724945843219757,0.8145,0.845
2400,0.01,0.8677077833563089,0.8729300051927567,0.761,0.805
3800,0.001,0.9003638345748186,0.895864337682724,0.6715,0.68
3800,0.005,0.7569690737873316,0.7308719903230667,0.821,0.855
3800,0.01,0.7549933604896069,0.7709915786981583,0.8135,0.85
