num_epochs,learning_rate,lr_decay_factor,lr_decay_step,final_train_loss,final_valid_loss
550,0.005,1,350,1.4708849526941776,1.605714350938797
550,0.01,0.1,100,1.4697209149599075,1.6512564718723297
550,0.01,0.1,250,1.4683874398469925,1.6779108345508575
550,0.01,0.1,350,1.4693701043725014,1.6545881628990173
550,0.01,0.2,100,1.4723456278443336,1.6976949870586395
550,0.01,0.2,250,1.473262544721365,1.6019132435321808
550,0.01,0.2,350,1.4718358777463436,1.567503422498703
550,0.01,0.3,100,1.4712768197059631,1.6191972494125366
550,0.01,0.3,250,1.46886732801795,1.586818903684616
550,0.01,0.3,350,1.470876943320036,1.6180396676063538
550,0.01,1,100,1.4693782329559326,1.6154823005199432
550,0.01,1,250,1.4708696343004704,1.6067318618297577
550,0.01,1,350,1.471845980733633,1.58746799826622
1100,0.001,0.1,100,1.4725460708141327,1.6556601822376251
1100,0.001,0.1,250,1.4650420993566513,1.627696692943573
1100,0.001,0.1,350,1.467446070164442,1.6376294195652008
1100,0.001,0.2,100,1.4689454659819603,1.6311066448688507
1100,0.001,0.2,250,1.4699136763811111,1.619035243988037
1100,0.001,0.2,350,1.4742776677012444,1.6240977048873901
1100,0.001,0.3,100,1.4727717004716396,1.6148978173732758
1100,0.001,0.3,250,1.467438131570816,1.6059278845787048
1100,0.001,0.3,350,1.466942459344864,1.577564299106598
1100,0.001,1,100,1.4689418002963066,1.6703818440437317
1100,0.001,1,250,1.468438409268856,1.6129305362701416
1100,0.001,1,350,1.4708181656897068,1.576794058084488
1100,0.005,0.1,100,1.4674892537295818,1.6267267167568207
1100,0.005,0.1,250,1.4693594574928284,1.5864270627498627
1100,0.005,0.1,350,1.4684596098959446,1.669492244720459
1100,0.005,0.2,100,1.4698984399437904,1.6044751107692719
1100,0.005,0.2,250,1.4703940227627754,1.5678859949111938
1100,0.005,0.2,350,1.4689062796533108,1.5930981636047363
1100,0.005,0.3,100,1.4684584997594357,1.6219183206558228
1100,0.005,0.3,250,1.4709164015948772,1.6136351227760315
1100,0.005,0.3,350,1.468815241008997,1.689404457807541
1100,0.005,1,100,1.4679430425167084,1.6198609471321106
1100,0.005,1,250,1.4684467017650604,1.6590577065944672
1100,0.005,1,350,1.4703585505485535,1.7341646254062653
1100,0.01,0.1,100,1.46502785384655,1.6120907068252563
1100,0.01,0.1,250,1.4689401648938656,1.6301564276218414
1100,0.01,0.1,350,1.468913059681654,1.625089019536972
1100,0.01,0.2,100,1.470353376120329,1.5789516866207123
1100,0.01,0.2,250,1.4713180623948574,1.627368152141571
1100,0.01,0.2,350,1.4694399870932102,1.5699474215507507
1100,0.01,0.3,100,1.4718591198325157,1.5924441516399384
1100,0.01,0.3,250,1.4679225981235504,1.6973755061626434
1100,0.01,0.3,350,1.4718441888689995,1.6040543615818024
1100,0.01,1,100,1.4669737406075,1.5924595892429352
1100,0.01,1,250,1.4679268263280392,1.6245709657669067
1100,0.01,1,350,1.468466904014349,1.6704773008823395
