num_epochs,learning_rate,lr_decay_factor,lr_decay_step,regularization,final_train_loss,final_valid_loss
250,0.001,0.1,100,0,1.657598402351141,1.6647870540618896
250,0.001,0.1,100,0.001,1.468585904687643,1.611615538597107
250,0.001,0.1,100,0.01,1.520259778946638,1.6356394290924072
250,0.001,0.1,100,0.1,2.3025121837854385,2.3025639057159424
250,0.001,0.1,250,0,1.6556113995611668,1.687633365392685
250,0.001,0.1,250,0.001,1.469483733177185,1.6021143198013306
250,0.001,0.1,250,0.01,1.5214858278632164,1.6539905667304993
250,0.001,0.1,250,0.1,2.302519738674164,2.3025423884391785
250,0.001,0.1,350,0,1.6587462238967419,1.666947364807129
250,0.001,0.1,350,0.001,1.472407802939415,1.6315948069095612
250,0.001,0.1,350,0.01,1.5177039690315723,1.642823189496994
250,0.001,0.1,350,0.1,2.302506521344185,2.302825152873993
250,0.001,0.2,100,0,1.6620497107505798,1.6514925062656403
250,0.001,0.2,100,0.001,1.4672388024628162,1.5706570446491241
250,0.001,0.2,100,0.01,1.519588142633438,1.6376181244850159
250,0.001,0.2,100,0.1,2.302511915564537,2.3025642037391663
250,0.001,0.2,250,0,1.6624667532742023,1.6701402068138123
250,0.001,0.2,250,0.001,1.4667513817548752,1.5716413855552673
250,0.001,0.2,250,0.01,1.520811714231968,1.6237967014312744
250,0.001,0.2,250,0.1,2.3025170117616653,2.3025102615356445
250,0.001,0.2,350,0,1.6679558716714382,1.670645385980606
250,0.001,0.2,350,0.001,1.4671790935099125,1.588647574186325
250,0.001,0.2,350,0.01,1.518787406384945,1.6009491086006165
250,0.001,0.2,350,0.1,2.3025074303150177,2.302699625492096
250,0.001,0.3,100,0,1.6756551861763,1.6563717722892761
250,0.001,0.3,100,0.001,1.4684039540588856,1.5932713747024536
250,0.001,0.3,100,0.01,1.5196825191378593,1.6095621287822723
250,0.001,0.3,100,0.1,2.3025069311261177,2.3024744391441345
250,0.001,0.3,250,0,1.6739113666117191,1.6478028893470764
250,0.001,0.3,250,0.001,1.46951137855649,1.6200911700725555
250,0.001,0.3,250,0.01,1.519758839160204,1.604134351015091
250,0.001,0.3,250,0.1,2.3025011494755745,2.3024250268936157
250,0.001,0.3,350,0,1.6733959652483463,1.6638868749141693
250,0.001,0.3,350,0.001,1.467533752322197,1.593278855085373
