k_component,pca_component,scaler,sharpness,avg_accuracy
13,,StandardScaler,1.5,0.49700000000000005
14,,StandardScaler,1.5,0.5075999999999999
10,500,StandardScaler,1.5,0.38760000000000006
11,500,StandardScaler,1.5,0.407
12,500,StandardScaler,1.5,0.4188
13,500,StandardScaler,1.5,0.4322
14,500,StandardScaler,1.5,0.45600000000000007
10,550,StandardScaler,1.5,0.38299999999999995
11,550,StandardScaler,1.5,0.3868
12,550,StandardScaler,1.5,0.4008
13,550,StandardScaler,1.5,0.4494
14,550,StandardScaler,1.5,0.45520000000000016
10,600,StandardScaler,1.5,0.38880000000000003
11,600,StandardScaler,1.5,0.4164
12,600,StandardScaler,1.5,0.40619999999999995
13,600,StandardScaler,1.5,0.42340000000000017
14,600,StandardScaler,1.5,0.4482
10,650,StandardScaler,1.5,0.37920000000000004
11,650,StandardScaler,1.5,0.3820000000000001
12,650,StandardScaler,1.5,0.4075999999999999
13,650,StandardScaler,1.5,0.4149999999999999
14,650,StandardScaler,1.5,0.44380000000000003
10,700,StandardScaler,1.5,0.38
11,700,StandardScaler,1.5,0.39519999999999994
12,700,StandardScaler,1.5,0.42239999999999994
13,700,StandardScaler,1.5,0.42019999999999996
14,700,StandardScaler,1.5,0.45760000000000006
10,450,StandardScaler,1.5,0.38420000000000004
11,450,StandardScaler,1.5,0.40700000000000003
12,450,StandardScaler,1.5,0.41400000000000003
13,450,StandardScaler,1.5,0.43579999999999997
14,450,StandardScaler,1.5,0.44959999999999994
10,,GrayScaler,1.5,0.4452
11,,GrayScaler,1.5,0.45319999999999994
12,,GrayScaler,1.5,0.48499999999999993
13,,GrayScaler,1.5,0.4842
14,,GrayScaler,1.5,0.49859999999999993
10,500,GrayScaler,1.5,0.44580000000000003
11,500,GrayScaler,1.5,0.4708000000000001
12,500,GrayScaler,1.5,0.4946
13,500,GrayScaler,1.5,0.4874
14,500,GrayScaler,1.5,0.5055999999999999
10,550,GrayScaler,1.5,0.4527999999999999
11,550,GrayScaler,1.5,0.4671999999999999
12,550,GrayScaler,1.5,0.47900000000000004
13,550,GrayScaler,1.5,0.5105999999999999
14,550,GrayScaler,1.5,0.5192
10,600,GrayScaler,1.5,0.44900000000000007
11,600,GrayScaler,1.5,0.4614000000000001
12,600,GrayScaler,1.5,0.49139999999999995
13,600,GrayScaler,1.5,0.5015999999999999
14,600,GrayScaler,1.5,0.51
10,650,GrayScaler,1.5,0.4424
11,650,GrayScaler,1.5,0.47679999999999995
12,650,GrayScaler,1.5,0.47220000000000006
13,650,GrayScaler,1.5,0.48360000000000014
14,650,GrayScaler,1.5,0.5016
10,700,GrayScaler,1.5,0.4528000000000001
11,700,GrayScaler,1.5,0.4472
12,700,GrayScaler,1.5,0.4736
13,700,GrayScaler,1.5,0.504
14,700,GrayScaler,1.5,0.5055999999999999
10,450,GrayScaler,1.5,0.4326
11,450,GrayScaler,1.5,0.46860000000000007
12,450,GrayScaler,1.5,0.4836
13,450,GrayScaler,1.5,0.5024000000000001
14,450,GrayScaler,1.5,0.5044
