num_epochs,learning_rate,lr_decay_factor,lr_decay_step,final_train_loss,final_valid_loss
150,0.001,0.1,100,0.7768033385276795,0.7576090675592423
150,0.001,0.1,250,0.8782249109745026,0.878471400141716
150,0.001,0.1,350,0.7983702647387981,0.7755568537116051
150,0.001,0.2,100,0.767771491676569,0.740166634619236
150,0.001,0.2,250,0.8312752130329609,0.8028536796569824
150,0.001,0.2,350,0.8475985853672028,0.8198778414726258
150,0.001,0.3,100,0.7539199123084546,0.7332651481032372
150,0.001,0.3,250,0.7912609380185605,0.7676804235577583
150,0.001,0.3,350,0.783702128380537,0.7678832319378853
150,0.001,1,100,0.8386605435907841,0.8059508037567139
150,0.001,1,250,0.7694494896233082,0.7471266496181488
150,0.001,1,350,0.8024055073261261,0.767551940381527
150,0.005,0.1,100,0.766662419527769,0.7422036066651344
150,0.005,0.1,250,0.7772554883956909,0.7530258640646934
150,0.005,0.1,350,0.7742905648648739,0.7567423555254936
150,0.005,0.2,100,0.8081161940991879,0.7931387743353844
150,0.005,0.2,250,0.7828838637769222,0.7630474451184273
150,0.005,0.2,350,0.7955485663115979,0.7736644524335862
150,0.005,0.3,100,0.8048060878515243,0.7706933814287186
150,0.005,0.3,250,0.8759112604260445,0.8742445063591003
150,0.005,0.3,350,0.7762088713943959,0.7489583629369736
150,0.005,1,100,0.8272662184536457,0.7969176775217056
150,0.005,1,250,0.8007750415205955,0.7799277353286743
150,0.005,1,350,0.8659399020373821,0.863349229991436
150,0.01,0.1,100,0.8219638888537883,0.7943327519297599
150,0.01,0.1,250,0.7879530451595783,0.7641246768832207
150,0.01,0.1,350,0.7683253871500492,0.7486500623822212
150,0.01,0.2,100,0.8737664643526077,0.874925644993782
150,0.01,0.2,250,0.8859951979219913,0.8870520558953285
150,0.01,0.2,350,0.7783826334476471,0.7580066946148872
150,0.01,0.3,100,0.8718901141583919,0.8733339864015579
150,0.01,0.3,250,0.8716449029147625,0.873299034833908
150,0.01,0.3,350,0.8559899235963822,0.8306631582975388
150,0.01,1,100,0.8696706953942775,0.8707527589797973
150,0.01,1,250,0.8053768626749516,0.7751307770609855
150,0.01,1,350,0.8335906190872192,0.8196372961997986
500,0.001,0.1,100,0.8511244239509106,0.8562029218673706
500,0.001,0.1,250,0.688571964353323,0.6800489938259124
500,0.001,0.1,350,0.6898812901973724,0.6813954937458039
500,0.001,0.2,100,0.6894134143292904,0.6771796774864197
500,0.001,0.2,250,0.7350720466375351,0.70252799898386
500,0.001,0.2,350,0.6851634773015975,0.675972917675972
500,0.001,0.3,100,0.693000582665205,0.680274541079998
500,0.001,0.3,250,0.6894910452067852,0.6809965860843659
500,0.001,0.3,350,0.7035704010128975,0.6869051972031593
500,0.001,1,100,0.6886968291401863,0.6800852569937706
500,0.001,1,250,0.6994590814113617,0.688320060968399
500,0.001,1,350,0.7183249343931675,0.6952999705076217
500,0.005,0.1,100,0.699267765313387,0.6874331375956535
500,0.005,0.1,250,0.6912061036527157,0.6822349938750267
500,0.005,0.1,350,0.6896564590334893,0.6812276065349578
500,0.005,0.2,100,0.6858405968248844,0.6774961760640145
500,0.005,0.2,250,0.6870430013239384,0.6784399345517158
500,0.005,0.2,350,0.6844073642492294,0.6758125269412995
500,0.005,0.3,100,0.6917015586197376,0.6827458739280701
500,0.005,0.3,250,0.6913627077043056,0.6811979010701179
500,0.005,0.3,350,0.6886295392811298,0.6803309068083763
500,0.005,1,100,0.6978299002051354,0.6789945125579834
500,0.005,1,250,0.7890122752487659,0.753781579732895
500,0.005,1,350,0.6910467344224454,0.6824494054913521
500,0.01,0.1,100,0.8525841009616851,0.8548120695352555
500,0.01,0.1,250,0.6938342978358268,0.6834590741991997
500,0.01,0.1,350,0.6931152257621288,0.6783186712861061
500,0.01,0.2,100,0.6884953937828541,0.6802596935629844
500,0.01,0.2,250,0.8526353948414326,0.856031346321106
500,0.01,0.2,350,0.6985515643060207,0.6869923511147499
500,0.01,0.3,100,0.7863429393470287,0.7501096633076668
500,0.01,0.3,250,0.7649328634440898,0.7265460556745529
500,0.01,0.3,350,0.6930783824920654,0.6840292042493821
500,0.01,1,100,0.6878380117416382,0.6795607766509056
500,0.01,1,250,0.8548334828913212,0.8570577237010002
500,0.01,1,350,0.6903210311233997,0.6809756502509117
1000,0.001,0.1,100,0.6744183280467987,0.6648021554946899
1000,0.001,0.1,250,0.6703714073300362,0.6593226847052575
